est	obs	kind
65.4196643829	59	est/obs
1593.02783489	1722	est/obs
465.939850807	435	est/obs
1300.2015667	1160	est/obs
1157.44044685	1267	est/obs
77.446352005	93	est/obs
71.3686122894	75	est/obs
38.2394227982	40	est/obs
321.214143753	130	est/obs
105.225894928	36	est/obs
82.2367668152	36	est/obs
78.0302877426	73	est/obs
108.837444305	41	est/obs
59.4583511353	39	est/obs
65.903883934	49	est/obs
248.332746506	116	est/obs
336.485330582	133	est/obs
86.1200437546	47	est/obs
45.4653863907	30	est/obs
41.9617147446	35	est/obs
93.0543060303	37	est/obs
147.506180763	70	est/obs
52.0595836639	41	est/obs
32.5857791901	52	est/obs
35.8138103485	32	est/obs
164.605615616	97	est/obs
121.325768471	63	est/obs
51.245221138	44	est/obs
35.6552295685	65	est/obs
39.0469264984	52	est/obs
109.711645126	91	est/obs
52.1993808746	42	est/obs
41.551943779	45	est/obs
47.6801300049	30	est/obs
97.3432159424	34	est/obs
65.2880182266	36	est/obs
19.8236560822	35	est/obs
25.6452455521	42	est/obs
2403.27007484	2678	est/obs
33.8445177078	33	est/obs
475.459153175	468	est/obs
1254.05411339	1293	est/obs
1551.21215343	1726	est/obs
1472.19644737	1395	est/obs
23.5452241898	34	est/obs
74.5709514618	110	est/obs
145.892165184	89	est/obs
130.372672081	64	est/obs
64.9162530899	71	est/obs
10.3433732986	32	est/obs
38.4507436752	130	est/obs
31.4062299728	125	est/obs
42.8922243118	55	est/obs
20.9614334106	127	est/obs
33.7808074951	39	est/obs
149.774022102	142	est/obs
22.0109329224	61	est/obs
49.9141693115	39	est/obs
58.0888319016	52	est/obs
50.3953027725	58	est/obs
244.113186836	222	est/obs
54.5470666885	31	est/obs
65.2329931259	48	est/obs
16.8253240585	32	est/obs
64.3192834854	47	est/obs
49.0967588425	39	est/obs
49.6876497269	51	est/obs
126.588395119	118	est/obs
137.386016846	75	est/obs
76.0208892822	78	est/obs
6.42302131653	44	est/obs
12.4966678619	50	est/obs
86.6153469086	47	est/obs
97.3781261444	91	est/obs
40.7823019028	31	est/obs
63.4807510376	91	est/obs
36.1705942154	33	est/obs
144.061501503	129	est/obs
33.7054309845	35	est/obs
37.8499746323	52	est/obs
27.8284721375	30	est/obs
